Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
321318,86186380,8192,8192,0,78.796,4882.76,1000,0,0,0,0,0,0,0,12,1200,0,0,0,0,1631624,0,0,53.3786,170,0,0,0,0
321498,86186380,8192,8192,0,78.807,3702.13,1000,0,0,0,0,0,0,0,12,624,0,0,0,0,848640,0,0,37.6033,170,0,0,0,0
321769,86186380,8192,8192,0,78.904,3252.35,1000,0,0,0,0,0,0,0,12,1080,0,0,0,0,1468800,0,0,43.4405,170,0,0,0,0
322052,86186380,8192,8192,0,79.086,3039.31,1000,0,0,0,0,0,0,0,12,984,0,0,0,0,1337676,0,0,37.8451,170,0,0,0,0
322311,86186380,8192,8192,0,78.816,2714.29,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272960,0,0,39.2407,170,0,0,0,0
322601,86186380,8192,8192,0,78.851,3884.4,1000,0,0,0,0,0,0,0,12,1104,0,0,0,0,1501440,0,0,41.4685,170,0,0,0,0
322832,86186380,8192,8192,0,78.862,3979.28,1000,0,0,0,0,0,0,0,12,960,0,0,0,0,1305224,0,0,45.2088,170,0,0,0,0
323092,86186380,8192,8192,0,79.191,3582.95,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272960,0,0,39.0928,170,0,0,0,0
323351,86186380,8192,8192,0,78.865,4722.59,1000,0,0,0,0,0,0,0,12,1344,0,0,0,0,1827652,0,0,56.4408,170,0,0,0,0
323528,86186380,8192,8192,0,78.953,3776.65,1000,0,0,0,0,0,0,0,12,600,0,0,0,0,816000,0,0,37.037,170,0,0,0,0
323806,86186380,8192,8192,0,78.902,3533,1000,0,0,0,0,0,0,0,12,1296,0,0,0,0,1761808,0,0,50.6724,170,0,0,0,0
324033,86186380,8192,8192,0,78.893,4905.12,1000,0,0,0,0,0,0,0,12,648,0,0,0,0,881280,0,0,31.0403,170,0,0,0,0
324288,86186380,8192,8192,0,79.086,4461.54,1000,0,0,0,0,0,0,0,12,1368,0,0,0,0,1859164,0,0,58.3821,170,0,0,0,0
324504,86186380,8192,8192,0,80.908,4000.01,1000,0,0,0,0,0,0,0,12,744,0,0,0,0,1011840,0,0,37.3897,170,0,0,0,0
324784,86186380,8192,8192,0,79.084,4528.31,1000,0,0,0,0,0,0,0,12,1344,0,0,0,0,1827840,0,0,52.2845,170,0,0,0,0
324981,86186380,8192,8192,0,78.906,3908.58,1000,0,0,0,0,0,0,0,12,840,0,0,0,0,1142400,0,0,46.4239,170,0,0,0,0
325210,86186380,8192,8192,0,78.828,3103.45,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272584,0,0,44.4183,170,0,0,0,0
325414,86186380,8192,8192,0,78.777,3381.83,1000,0,0,0,0,0,0,0,12,1248,0,0,0,0,1696340,0,0,66.4346,170,0,0,0,0
325605,86186380,8192,8192,0,78.803,2975.62,1000,0,0,0,0,0,0,0,12,648,0,0,0,0,881280,0,0,36.9349,170,0,0,0,0
325884,86186380,8192,8192,0,82.422,3750,1000,0,0,0,0,0,0,0,12,1056,0,0,0,0,1435032,0,0,41.1997,170,0,0,0,0
326135,86186380,8192,8192,0,79.247,4377.36,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272960,0,0,40.5613,170,0,0,0,0
326411,86186380,8192,8192,0,79,3913.04,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370692,0,0,39.6908,170,0,0,0,0
326720,86186380,8192,8192,0,79.444,3352.94,1000,0,0,0,0,0,0,0,12,1152,0,0,0,0,1566720,0,0,40.5768,170,0,0,0,0
326966,86186380,8192,8192,0,78.932,4275,1000,0,0,0,0,0,0,0,12,1032,0,0,0,0,1402956,0,0,45.6118,170,0,0,0,0
327179,86186380,8192,8192,0,78.996,4722.59,1000,0,0,0,0,0,0,0,12,1243,0,0,0,0,1689164,0,0,63.3589,170,0,0,0,0
327350,86186380,8192,8192,0,78.938,4575,1000,0,0,0,0,0,0,0,12,1007,0,0,0,0,1368580,0,0,64.1239,170,0,0,0,0
327511,86186380,8192,8192,0,79.046,4585.99,1000,0,0,0,0,0,0,0,12,894,0,0,0,0,1215840,0,0,60.5521,170,0,0,0,0
327716,86186380,8192,8192,0,78.934,4603.78,1000,0,0,0,0,0,0,0,12,792,0,0,0,0,1075992,0,0,41.9838,170,0,0,0,0
327950,86186380,8192,8192,0,78.894,4370.38,1000,0,0,0,0,0,0,0,12,1056,0,0,0,0,1436160,0,0,49.0835,170,0,0,0,0
328195,86186380,8192,8192,0,81.86,3786.11,1000,0,0,0,0,0,0,0,12,720,0,0,0,0,979200,0,0,31.8881,170,0,0,0,0
328510,86186380,8192,8192,0,79.12,4305.89,1000,0,0,0,0,0,0,0,12,1138,0,0,0,0,1547304,0,0,39.3823,170,0,0,0,0
328740,86186380,8192,8192,0,79.368,4137.94,1000,0,0,0,0,0,0,0,12,1070,0,0,0,0,1455200,0,0,50.643,170,0,0,0,0
329032,86186380,8192,8192,0,78.951,5080.3,1000,0,0,0,0,0,0,0,12,1192,0,0,0,0,1619804,0,0,44.3455,170,0,0,0,0
329245,86186380,8192,8192,0,78.872,3864.41,1000,0,0,0,0,0,0,0,12,728,0,0,0,0,990080,0,0,37.1751,170,0,0,0,0
329516,86186380,8192,8192,0,79.11,4615.39,1000,0,0,0,0,0,0,0,12,1320,0,0,0,0,1793132,0,0,52.907,170,0,0,0,0
329706,86186380,8192,8192,0,78.893,4071.43,1000,0,0,0,0,0,0,0,12,648,0,0,0,0,881280,0,0,37.0482,170,0,0,0,0
